order_id,order_date,region,channel,product,category,unit_price,quantity,sales_amount,customer_satisfaction
ORD20250045,2025-03-09,华北,线上商城,智能手机,数码电子,3999.0,1,3556.09,4.1
ORD20250046,2025-06-26,华东,线上商城,电饭煲,家用电器,399.0,18,7520.18,4.7
ORD20250067,2025-05-10,华南,线下门店,按摩仪,个护健康,899.0,15,16527.88,4.1
ORD20250029,2025-01-20,华北,线下门店,笔记本电脑,数码电子,5999.0,9,60056.66,4.7
ORD20250058,2025-03-25,华北,线下门店,智能手机,数码电子,3999.0,10,41992.21,4.1
ORD20250054,2025-03-08,华北,线上商城,按摩仪,个护健康,899.0,18,13888.69,5.0
ORD20250017,2025-05-10,东北,线上商城,电动牙刷,个护健康,299.0,9,2031.74,3.6
ORD20250064,2025-04-13,华南,线上商城,空气净化器,家用电器,1899.0,7,14754.87,4.4
ORD20250024,2025-01-18,华南,线上商城,智能手机,数码电子,3999.0,3,11970.74,3.1
ORD20250012,2025-05-24,华东,直播带货,电饭煲,家用电器,399.0,15,6405.55,4.2
ORD20250071,2025-02-22,华南,线下门店,电饭煲,家用电器,399.0,11,4919.81,4.5
ORD20250091,2025-05-06,华南,线下门店,空气净化器,家用电器,1899.0,8,18235.51,3.2
ORD20250025,2025-02-03,华南,直播带货,笔记本电脑,数码电子,5999.0,9,56766.77,4.1
ORD20250085,2025-04-03,西南,直播带货,按摩仪,个护健康,899.0,14,8877.27,3.9
ORD20250088,2025-04-29,西南,直播带货,智能手机,数码电子,3999.0,9,26580.33,3.8
ORD20250049,2025-03-02,东北,线上商城,按摩仪,个护健康,899.0,14,9469.58,4.6
ORD20250084,2025-04-05,华北,线上商城,空气净化器,家用电器,1899.0,2,3716.39,3.7
ORD20250094,2025-06-26,华东,线上商城,笔记本电脑,数码电子,5999.0,11,80038.79,4.5
ORD20250078,2025-05-19,西南,线上商城,电饭煲,家用电器,399.0,9,2847.21,3.7
ORD20250052,2025-02-28,华北,线上商城,电饭煲,家用电器,399.0,12,5212.23,
ORD20250069,2025-03-15,华东,线上商城,电动牙刷,个护健康,299.0,8,2506.56,3.6
ORD20250020,2025-01-18,,直播带货,空气净化器,家用电器,1899.0,3,6807.67,3.3
ORD20250079,2025-01-08,西南,线上商城,电动牙刷,个护健康,299.0,3,750.27,3.0
ORD20250007,2025-04-27,西南,直播带货,智能手机,数码电子,3999.0,8,24673.2,3.3
ORD20250021,2025-06-05,华东,线下门店,电饭煲,家用电器,399.0,18,8689.95,4.9
ORD20250033,2025-02-18,华南,线下门店,按摩仪,个护健康,899.0,18,18534.89,3.1
ORD20250082,2025-04-07,华南,线下门店,智能手机,数码电子,3999.0,10,51617.85,3.4
ORD20250059,2025-02-14,华南,直播带货,笔记本电脑,数码电子,5999.0,14,93082.11,3.8
ORD20250041,2025-06-17,华南,直播带货,电动牙刷,个护健康,299.0,10,3941.11,
ORD20250076,2025-04-20,华南,线上商城,空气净化器,家用电器,1899.0,19,36314.15,3.4
ORD20250022,2025-06-21,华南,直播带货,按摩仪,个护健康,899.0,7,7017.65,4.8
ORD20250034,2025-01-13,华东,直播带货,电动牙刷,个护健康,299.0,18,6097.26,4.8
ORD20250080,2025-05-25,华东,线上商城,笔记本电脑,数码电子,5999.0,8,60518.16,3.5
ORD20250002,2025-04-18,华南,线上商城,空气净化器,家用电器,1899.0,7,16210.24,3.6
ORD20250018,2025-02-11,华南,直播带货,电动牙刷,个护健康,299.0,17,5236.66,4.8
ORD20250030,2025-01-04,华南,线上商城,智能手机,数码电子,3999.0,2,9309.69,4.7
ORD20250066,2025-06-20,华北,直播带货,按摩仪,个护健康,899.0,4,,4.2
ORD20250026,2025-02-18,西南,线上商城,电饭煲,家用电器,399.0,8,2789.17,3.9
ORD20250000,2025-02-27,华东,线上商城,电动牙刷,个护健康,299.0,4,1338.34,4.4
ORD20250044,2025-01-14,华东,线上商城,空气净化器,家用电器,1899.0,16,40925.34,4.7
ORD20250004,2025-04-02,华东,线下门店,按摩仪,个护健康,899.0,11,11439.34,4.6
ORD20250035,2025-02-17,华东,线上商城,空气净化器,家用电器,1899.0,6,13704.91,4.4
ORD20250011,2025-05-26,华东,直播带货,电饭煲,家用电器,399.0,9,4843.29,4.3
ORD20250068,2025-06-13,华北,线下门店,笔记本电脑,数码电子,5999.0,16,103233.96,4.0
ORD20250033,2025-02-18,华南,线下门店,按摩仪,个护健康,899.0,18,18534.89,3.1
ORD20250005,2025-04-07,华南,线上商城,电动牙刷,个护健康,299.0,15,,4.7
