订单ID,订单日期,产品类别,产品名称,单价,数量,销售额,折扣率,地区,销售渠道,支付方式,客户满意度,配送天数
ORD202400001,2024-11-23,电子产品,智能手表,1015.81,1,1015.81,0.0,华南,线下门店,支付宝,4.4,3
ORD202400002,2024-04-11,美妆个护,防晒霜,92.71,1,88.07,0.05,西南,线上商城,微信支付,4.1,3
ORD202400003,2024-02-17,家居用品,保温杯,71.78,2,143.56,0.0,华南,线上商城,货到付款,5.0,2
ORD202400004,2024-10-22,家居用品,空气炸锅,328.22,1,311.81,0.05,西北,线下门店,银行卡,4.5,4
ORD202400005,2024-12-09,家居用品,空气炸锅,392.44,1,372.82,0.05,华东,线上商城,货到付款,4.3,1
ORD202400006,2024-04-27,食品饮料,红茶礼盒,106.74,1,101.4,0.05,华东,线上商城,银行卡,4.8,2
ORD202400007,2024-10-26,服装鞋帽,帽子,53.34,1,53.34,0.0,华北,线上商城,支付宝,5.0,3
ORD202400008,2024-07-14,服装鞋帽,牛仔裤,181.57,5,907.85,0.0,华南,线上商城,银行卡,3.7,3
ORD202400009,2024-01-02,食品饮料,红茶礼盒,125.57,2,251.14,0.0,华中,线上商城,微信支付,4.4,3
ORD202400010,2024-09-28,食品饮料,进口零食包,62.52,1,59.39,0.05,华中,线下门店,支付宝,4.0,5
ORD202400011,2024-02-05,食品饮料,进口零食包,71.26,1,64.13,0.1,东北,线上商城,微信支付,4.2,2
ORD202400012,2024-06-08,服装鞋帽,T恤,77.53,1,77.53,0.0,华东,线上商城,支付宝,,1
ORD202400013,2024-02-04,食品饮料,红茶礼盒,95.84,1,86.26,0.1,华东,线上商城,货到付款,4.8,1
ORD202400014,2024-02-19,美妆个护,香水,410.37,1,410.37,0.0,华南,线下门店,支付宝,5.0,2
ORD202400015,2024-08-17,电子产品,蓝牙耳机,242.73,1,242.73,0.0,华北,线下门店,微信支付,4.2,5
ORD202400016,2024-05-01,家居用品,记忆枕,149.16,3,447.48,0.0,华东,线上商城,微信支付,4.2,3
ORD202400017,2024-10-11,美妆个护,电动牙刷,206.18,1,206.18,0.0,华南,线上商城,微信支付,4.3,4
ORD202400018,2024-09-17,电子产品,蓝牙耳机,226.34,1,226.34,0.0,华北,线下门店,微信支付,4.9,2
ORD202400019,2024-06-10,食品饮料,咖啡豆,78.82,1,70.94,0.1,华北,直播带货,支付宝,5.0,3
ORD202400020,2024-02-21,电子产品,蓝牙耳机,260.46,1,247.44,0.05,华中,线下门店,支付宝,4.9,4
ORD202400021,2024-11-30,服装鞋帽,帽子,51.69,2,98.21,0.05,华东,线下门店,微信支付,5.0,2
ORD202400022,2024-05-15,服装鞋帽,T恤,88.61,3,265.83,0.0,华南,线下门店,支付宝,4.8,3
ORD202400023,2024-12-27,服装鞋帽,羽绒服,459.45,4,1745.91,0.05,华北,线下门店,微信支付,4.6,3
ORD202400024,2024-01-21,食品饮料,咖啡豆,79.1,2,150.29,0.05,西南,线下门店,微信支付,4.4,3
ORD202400025,2024-03-31,食品饮料,坚果礼盒,79.54,4,286.34,0.1,西南,线下门店,微信支付,5.0,3
ORD202400026,2024-04-23,家居用品,记忆枕,143.23,3,429.69,0.0,华东,直播带货,微信支付,4.7,3
ORD202400027,2024-12-13,食品饮料,进口零食包,62.66,1,56.39,0.1,华东,线下门店,支付宝,4.7,3
ORD202400028,2024-09-18,电子产品,笔记本电脑,5260.74,1,4734.67,0.1,华东,线下门店,微信支付,4.2,2
ORD202400029,2024-12-06,食品饮料,进口零食包,62.32,3,168.26,0.1,华北,直播带货,支付宝,3.7,3
ORD202400030,2024-03-30,服装鞋帽,T恤,76.77,3,218.79,0.05,华东,线上商城,微信支付,4.5,1
ORD202400031,2024-03-27,美妆个护,香水,421.95,2,801.7,0.05,华东,线下门店,支付宝,5.0,1
ORD202400032,2024-11-08,食品饮料,坚果礼盒,86.82,3,208.37,0.2,华东,直播带货,微信支付,,3
ORD202400033,2024-02-24,美妆个护,洗发水,54.17,4,195.01,0.1,华东,线上商城,银行卡,5.0,1
ORD202400034,2024-08-14,服装鞋帽,帽子,53.79,4,193.64,0.1,华中,直播带货,微信支付,4.5,4
ORD202400035,2024-11-16,家居用品,记忆枕,130.99,1,117.89,0.1,华东,线下门店,支付宝,5.0,2
ORD202400036,2024-06-18,服装鞋帽,牛仔裤,156.36,3,398.72,,华中,直播带货,微信支付,3.4,4
ORD202400037,2024-07-18,食品饮料,橄榄油,99.12,2,198.24,0.0,华北,线上商城,微信支付,5.0,2
ORD202400038,2024-03-06,食品饮料,进口零食包,56.63,1,56.63,0.0,华东,线上商城,银行卡,5.0,2
ORD202400039,2024-07-13,家居用品,记忆枕,138.85,1,138.85,0.0,西南,线上商城,货到付款,4.3,4
ORD202400040,2024-05-06,家居用品,空气炸锅,393.83,1,354.45,0.1,华南,线上商城,支付宝,3.7,3
ORD202400041,2024-02-28,美妆个护,洗发水,68.36,1,68.36,0.0,华中,线上商城,银行卡,5.0,2
ORD202400042,2024-05-04,电子产品,智能手表,1215.6,2,2431.2,0.0,西南,线上商城,支付宝,4.8,2
ORD202400043,2024-08-03,食品饮料,坚果礼盒,86.25,1,77.62,0.1,华南,线上商城,微信支付,4.0,4
ORD202400044,2024-08-11,食品饮料,进口零食包,61.41,3,184.23,0.0,华东,线上商城,微信支付,4.7,1
ORD202400045,2024-09-06,家居用品,保温杯,61.89,3,176.39,0.05,华北,线上商城,支付宝,5.0,3
ORD202400046,2024-12-30,服装鞋帽,羽绒服,456.52,1,433.69,0.05,华东,直播带货,微信支付,4.7,2
ORD202400047,2024-05-18,家居用品,吸尘器,664.65,1,664.65,0.0,西南,线下门店,微信支付,4.9,4
ORD202400048,2024-11-01,家居用品,空气炸锅,417.92,1,376.13,0.1,华东,线上商城,微信支付,5.0,2
ORD202400049,2024-09-08,电子产品,智能手机,3271.1,1,2943.99,0.1,华北,线下门店,支付宝,4.4,3
ORD202400050,2024-12-17,电子产品,蓝牙耳机,284.27,4,1137.08,0.0,西北,线上商城,微信支付,3.8,3
ORD202400051,2024-08-14,家居用品,台灯,103.23,1,103.23,0.0,华南,直播带货,货到付款,4.4,4
ORD202400052,2024-02-08,电子产品,充电宝,118.22,2,224.62,0.05,华东,线上商城,支付宝,4.9,2
ORD202400053,2024-10-28,美妆个护,洗发水,58.65,1,58.65,0.0,华中,线下门店,支付宝,4.9,3
ORD202400054,2024-03-04,服装鞋帽,T恤,83.73,4,301.43,0.1,华北,直播带货,银行卡,3.9,3
ORD202400055,2024-10-21,服装鞋帽,羽绒服,597.93,2,1136.07,0.05,华南,直播带货,支付宝,4.5,3
ORD202400056,2024-09-08,食品饮料,橄榄油,93.53,1,93.53,0.0,西南,线上商城,微信支付,5.0,3
ORD202400057,2024-06-10,家居用品,空气炸锅,433.6,1,346.88,0.2,西南,线上商城,银行卡,4.6,3
ORD202400058,2024-08-14,美妆个护,洗发水,55.81,1,53.02,0.05,华北,直播带货,支付宝,4.0,4
ORD202400059,2024-10-09,服装鞋帽,运动鞋,390.21,4,1404.76,0.1,东北,直播带货,支付宝,3.5,5
ORD202400060,2024-08-29,家居用品,台灯,80.41,1,80.41,0.0,华中,线上商城,微信支付,5.0,1
ORD202400061,2024-06-01,食品饮料,进口零食包,75.88,1,72.09,0.05,华北,线上商城,支付宝,4.1,3
ORD202400062,2024-05-02,服装鞋帽,运动鞋,376.31,1,357.49,0.05,西南,直播带货,微信支付,5.0,3
ORD202400063,2024-01-19,电子产品,笔记本电脑,5507.67,1,4956.9,0.1,华东,线下门店,支付宝,5.0,3
ORD202400064,2024-05-15,家居用品,记忆枕,156.74,3,423.2,0.1,东北,直播带货,银行卡,4.1,4
ORD202400065,2024-05-27,食品饮料,坚果礼盒,86.26,1,86.26,0.0,华北,直播带货,银行卡,4.4,4
ORD202400066,2024-09-28,服装鞋帽,运动鞋,306.34,1,275.71,0.1,华南,线上商城,银行卡,4.5,4
ORD202400067,2024-08-26,食品饮料,进口零食包,59.23,1,56.27,0.05,西北,线上商城,货到付款,3.6,4
ORD202400068,2024-02-24,家居用品,台灯,86.19,1,81.88,0.05,华东,线下门店,微信支付,4.2,4
ORD202400069,2024-09-11,食品饮料,红茶礼盒,119.1,1,113.14,0.05,华东,线上商城,支付宝,4.1,2
ORD202400070,2024-11-17,美妆个护,香水,456.36,1,410.72,0.1,华南,线上商城,支付宝,4.0,3
ORD202400071,2024-09-28,服装鞋帽,T恤,86.83,1,78.15,0.1,东北,线上商城,银行卡,3.6,4
ORD202400072,2024-12-12,美妆个护,电动牙刷,262.24,3,708.05,0.1,华东,线上商城,支付宝,4.7,3
ORD202400073,2024-11-22,食品饮料,坚果礼盒,92.62,1,74.1,0.2,华中,线上商城,银行卡,4.5,3
ORD202400074,2024-07-28,电子产品,智能手机,3628.41,1,3265.57,0.1,华东,线上商城,微信支付,5.0,1
ORD202400075,2024-10-27,美妆个护,洗发水,66.94,2,120.49,0.1,华南,线下门店,支付宝,4.2,3
ORD202400076,2024-12-17,家居用品,保温杯,56.43,1,56.43,0.0,东北,线下门店,支付宝,4.6,4
ORD202400077,2024-03-05,美妆个护,洗发水,52.23,2,104.46,0.0,华南,直播带货,支付宝,3.2,4
ORD202400078,2024-03-07,服装鞋帽,运动鞋,300.21,3,900.63,0.0,华东,直播带货,支付宝,5.0,2
